,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,2,2,2,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
,,,1,1,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,
,,,1,1,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,
,,,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,
1,1,1,1,2,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,
,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,,,,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,2,,,1,,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,,,1,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,1,1,1,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,1,1,2,,,1,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2,,,1,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2,1,1,1,,,1,1,1,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,1,1,1,1,1,,,Y,
,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,1,1,,Y,
,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,X,Y,
,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,1,,,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,Y,,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,Y,X,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Y,Y,Y,,,
