X,,X,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,P,X
Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X
Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Y
Y,,,,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,,Y
X,,,,S,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,S,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,P,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,P,X,,Y
X,P,X,X,X,S,X,X,X,P,X,X,X,X,X,X,X,P,X,X,X,S,X,X,X,P,X,X,X,X,X,X,X,P,X,X,X,S,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,P,,
P,X,Z,Z,Z,Z,Z,Z,P,X,Z,Z,Z,Z,Z,Z,P,X,Z,Z,Z,Z,Z,Z,P,X,Z,Z,Z,Z,Z,Z,P,X,Z,Z,S,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,P,X,,,,X,,
X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,S,X,X,X,P,X,X,X,S,X,X,X,P,X,X,X,S,X,X,X,S,X,X,X,X,X,X,X,S,X,X,X,P,,,,X,,
X,,,,P,X,Z,Z,Z,Z,Z,Z,P,X,Z,Z,Z,Z,Z,Z,S,X,Z,Z,Z,Z,Z,Z,S,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,S,X,Z,Z,Z,Z,Z,Z,S,X,,,,X,,,,X,,
X,,,,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,S,X,X,X,X,X,X,X,S,X,X,X,X,X,X,X,X,X,X,X,S,X,X,X,P,X,X,X,S,,,,X,,,,P,,
Y,,,,X,,,,P,X,Z,Z,Z,Z,Z,Z,P,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,P,X,,,,X,,,,X,,,,X,,
Y,,,,Y,,,,X,P,X,X,X,P,X,X,X,P,X,X,X,X,X,X,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,S,X,X,X,P,,,,X,,,,P,,,,X,,
Y,,,,Y,,,,X,,,,P,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,S,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,S,X,,,,X,,,,X,,,,X,,,,Y,,
X,,,,Y,,,,Y,,,,X,P,X,X,X,X,X,X,X,X,X,X,X,S,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,S,,,,X,,,,P,,,,X,,,,Y,,
,,,,X,,,,Y,,,,X,,,,,,,,,,,,,,,,P,X,,,,,,,,,,,,X,,,,Y,,,,X,,,,Y,,,,Y,,
,,,,,,,,Y,,,,Y,,,,,,,,,,,X,Y,Y,Y,X,X,P,X,X,X,P,X,X,Y,Y,Y,,,X,,,,Y,,,,X,,,,Y,,,,,,
,,,,,,,,X,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,Y,,,,Y,,,,,,
,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,
,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,
